RA,DEC,EW_HA
56.065983,31.99354,-35.49003920425311
55.971554,32.216722,-4.511505417579204
56.216892,31.973665,-7.1328892219763915
56.281809,32.06069,-2.1804562367145692
56.240494,32.12825,-17.76973101417188
55.889135,32.278677,-5.206013920856173
56.207382,32.059411,-7.297148312574352
56.261865,32.116824,-12.62304716441317
55.849041,32.303039,-3.9523422912532666
56.303069,32.187852,-4.309871488935845
56.274026,32.052198,-3.101154134651048
56.227579,32.361254,2.1249011282354755
56.112571,32.078761,-7.365284866708706
56.086956,32.345521,0.5137369703840301
56.046892,32.103341,-4.1729883986968375
56.257271,32.240994,-0.04044368308925239
55.999415,32.187507,-0.30742430257326436
56.256315,32.180899,-0.3676927281185107
56.108057,32.275061,0.31346618597303627
56.036918,32.269542,-0.020630879928272818
56.15582,32.103237,-1.297362143031341
55.994183,32.310876,1.0109036323630192
55.95312,32.125855,-1.7926841130138083
55.945049,32.252389,2.361750272525979
55.855654,32.247412,2.236734563899841
55.873697,31.96914,0.03201552755337991
55.951137,32.206975,2.2359607656630978
55.883594,32.104812,-2.20504650872724
56.1666,32.346957,-2.0353912438603894
55.94956,32.299071,-2.5879774508888262
56.142246,32.276596,-92.85571652280771
56.129726,32.313473,-7.809218711297454
55.949691,32.312782,-8.151949475889031
56.324965,32.325785,-8.284569478396833
55.999504,32.078167,-22.947155436986204
56.1574,32.204994,-13.806752811870208
56.02504,32.258923,-26.54649908648751
56.077469,32.214748,-64.27739377025031
56.075683,32.082455,-16.232449109155354
56.046751,32.137804,-22.980756142431304
56.177406,32.167355,-10.895387666736257
55.983466,32.037005,-40.72141283243263
56.11116,32.138969,-48.550470569201025
56.124176,32.01516,-51.80214675721912
56.295737,32.350216,1.080752597408862
56.165821,32.301163,-19.56436240755012
56.024004,32.207996,1.2247404397706005
56.106562,32.208328,-3.0288887446374266
55.994037,32.290981,-145.51329778936125
55.948056,32.328812,2.618004957147674
55.935892,32.138268,-1.1980570322611819
56.161227,32.149086,-3.679906409406243
55.991818,32.163074,2.34982937385221
56.046905,32.103371,-4.012448300364358
55.983448,32.037003,-19.351528792393594
56.094066,32.031582,-4.399091995907261
56.228908,32.203056,1.020126548722469
56.079687,32.158695,2.773103374034549
55.88358,32.104797,-1.4981122268186011
55.963533,32.219225,-4.789796467384465
55.873666,31.9692,0.39161944111436364
55.873666,31.9692,0.36582915859689014
55.945039,32.252419,2.304931848622775
56.281775,32.174401,1.8954201641117758
56.274055,32.052246,-1.9139547186748136
56.255888,32.083789,2.305075166203745
56.158251,32.058239,-6.131274652542033
55.855601,32.247429,2.174616293333372
56.0369,32.269596,-0.0018221119600027565
55.945039,32.252419,2.5147985971868785
55.853236,32.294044,1.4361553284481885
55.88358,32.104797,-1.616052851046683
56.094066,32.031582,-6.217319307162604
55.935892,32.138268,-41.49382764661946
55.900694,32.225726,1.5012732939349112
55.953146,32.125916,-1.2812520837451933
56.281775,32.174401,1.8930628219953571
56.074626,32.205639,-5.665067374684107
56.282197,32.00753,0.46125850782040206
56.020827,32.164936,-0.007055754979817492
56.135734,32.148834,-7.458863535717054
56.180934,32.13813,-0.3260348790335574
56.263309,32.068214,2.8481018861997622
56.20656,32.27926,1.2019788672722682
56.076338,31.963327,-0.6097307331460025
56.118801,31.998327,-7.171515626248244
56.186292,32.067325,-39.318849374952634
56.167142,32.192798,-0.1512477029328449
56.180917,32.138054,-0.41670433420727354
56.074638,32.2056,-4.476493172000024
55.883594,32.104812,-1.6724878552416127
56.076338,31.963327,1.2337900368617931
56.036918,32.269542,0.1029950396715554
56.186325,32.067356,-57.359341416483325
56.046892,32.103341,-2.744693004152816
56.09409,32.03157,-0.9646724728735414
55.998817,32.234119,-0.035931023360350985
56.086956,32.345521,0.3561246122898162
55.951137,32.206975,0.40685742654094154
55.94807,32.328799,1.802295342565165
55.994061,32.290974,-78.8971543637249
55.883594,32.104812,-1.0933120025057437
56.108057,32.275061,1.6313735411639898
55.873697,31.96914,0.40311753234067754
56.046892,32.103341,-6.609761106714401
56.186325,32.067356,-35.010749972695415
56.09409,32.03157,-0.44271159617917466
56.198783,32.319915,2.5176140946488728
56.124912,32.32299,-5.276839645863306
56.20656,32.27926,1.2052046959714409
56.290857,32.325092,-1.533233445968094
56.133292,32.195502,0.4114105961032057
56.0369,32.269596,0.4779301322321853
55.982509,32.328938,-0.10222530604578059
55.981298,32.158901,0.657873782363369
56.163175,32.155046,0.665595178998075
56.074626,32.205639,-4.554021951981927
56.239902,32.206684,0.8699749617063596
55.88358,32.104797,-1.3362465868296605
55.983448,32.037003,-33.88079754994743
55.873666,31.9692,0.4385568552128269
55.995438,32.190853,-2.210026739818777
55.945039,32.252419,2.436072056198199
56.068428,32.16532,-0.4581538759084288
56.282197,32.00753,0.38734168336431507
56.186338,32.067356,-35.40709093129929
56.256312,32.180912,-0.21448900048162378
56.249168,32.113228,2.2285096920591756
56.257264,32.241009,-0.20803089562166863
56.227606,32.361256,2.731987724396319
56.047664,32.327786,-5.554936159820215
56.124913,32.322936,-9.952295414160545
56.23171,32.155482,-3.2909560219163807
56.160819,32.085094,-5.310889054072634
56.263261,32.068172,0.5812343991083145
56.094061,32.031541,-3.81206548990833
55.977653,32.008279,-7.296294873931349
56.208171,32.06259,0.44375519784273604
56.26945,32.277434,-3.1443869865398337
56.21233,32.269246,-5.812286275856837
56.32239,32.233041,0.8563133840280648
56.009078,32.327741,-4.523647637403124
56.217527,32.367362,2.191785274487385
56.108057,32.275061,0.6702391979418553
56.295992,32.349943,1.26343252081537
56.290161,32.267595,0.13554223310542773
55.94807,32.328799,2.612145496672486
56.093071,32.200188,-88.58365027316755
55.994061,32.290974,-125.18821911893761
56.024002,32.207977,0.9586375714705527
55.935912,32.138232,-42.21115911513091
56.239895,32.20668,-0.5029212800879985
55.883594,32.104812,-1.636399505575665
56.09409,32.03157,-3.199851853988337
55.995495,32.190876,-18.113572740896384
56.160599,32.133514,-16.946953160229945
56.076338,31.963327,-3.1952150916924404
55.873697,31.96914,-0.10464549473385516
55.867548,32.033091,-35.04533766133953
55.951137,32.206975,2.2597725553270096
55.922893,32.249902,-0.5785628799429421
56.233915,32.154204,-6.214467483232864
56.249131,32.11322,1.9550953523612744
56.283172,32.067152,-2.280992658297584
55.951137,32.206975,2.880573119266209
56.036918,32.269542,0.9953048743191708
56.158249,32.058247,-14.191777257849767
55.922893,32.249902,2.513919043747683
55.94807,32.328799,2.5877065943775097
56.108057,32.275061,0.8223000974925364
56.290814,32.325051,0.022267536501616145
56.309516,32.275188,0.6890463586866051
55.995459,32.190842,-19.33871878632157
55.953408,32.264274,-12.59027312666037
55.877706,32.218355,-0.20195817537567595
56.087276,32.210379,-0.2241832196271789
56.094061,32.031541,-3.84737575863993
55.937681,32.146633,-3.941806335624144
56.010763,32.026342,-7.414599547065876
56.017102,32.12136,-3.7187397776437376
56.203392,32.222691,-7.119805157682848
55.932432,32.227749,-2.6724153246123183
56.086956,32.345521,0.9523600356975117
56.080134,32.126292,-6.5860575457077815
56.208171,32.06259,0.47266781207664066
55.994061,32.290974,-145.97288017507302
56.23171,32.155482,-3.4913249159751385
56.17545,32.049333,-1.250176253934142
55.94807,32.328799,2.5058777284598426
55.949708,32.299056,-2.6903686788305317
55.855654,32.247412,2.4564824067061886
55.935912,32.138232,-40.085518955692805
55.883594,32.104812,-1.4365951613345307
56.046892,32.103341,-2.2799371925421648
55.867548,32.033091,-44.04017494022134
56.09409,32.03157,-2.6987670764108564
56.141585,32.148349,-2.74044567778369
56.093071,32.200188,-65.79236285369754
56.274026,32.052198,-2.030841259855373
56.158249,32.058247,-27.02759387386328
56.180917,32.138054,-0.417146295683936
56.295992,32.349943,1.3828420115731905
56.257271,32.240994,0.41998635402327766
56.217527,32.367362,0.16927416263015077
55.873697,31.96914,0.24764917845483597
56.089834,32.252706,-18.070878220451526
56.076338,31.963327,-0.05153618136489986
55.977215,32.170517,0.9839985176164574
55.932432,32.227749,-6.349030375799856
56.089813,32.171485,-4.243793009704763
56.010763,32.026342,-7.040308564730554
56.23171,32.155482,-4.424543020149138
55.932432,32.227749,-2.571726898106508
56.263261,32.068172,-0.828731806546538
56.208171,32.06259,-1.75445664125756
56.217527,32.367362,1.7019356180927603
56.009078,32.327741,-3.6914985024478995
56.108057,32.275061,0.6588281336660144
56.086956,32.345521,1.1023188609922312
56.295992,32.349943,1.2641368208340789
55.949708,32.299056,-2.891710498496554
56.290161,32.267595,0.18572118587758588
56.093071,32.200188,-99.20044464742392
55.935912,32.138232,-27.85469798451657
55.995495,32.190876,-38.270137149592756
56.160599,32.133514,-23.595095819442644
56.046892,32.103341,-17.614621432082558
55.883594,32.104812,-15.17970161673457
56.239895,32.20668,-0.30453928571090355
56.09409,32.03157,-4.123708039523152
55.867548,32.033091,-54.112294231270276
55.984175,32.143356,-5.304695231566322
56.076338,31.963327,-0.23974264827579467
55.922893,32.249902,-3.784984476632921
55.951137,32.206975,1.0572099437079392
56.233915,32.154204,-4.52447391617539
56.300501,32.174752,1.206210040803755
56.274026,32.052198,-2.175398329478966
56.186325,32.067356,-43.297590548630055
55.855654,32.247412,0.22450000122044295
56.158249,32.058247,-34.633491412901414
56.047664,32.327786,-6.876326416944682
56.26945,32.277434,2.322223393046943
56.089834,32.252706,-29.501753114583515
56.149526,32.264794,-4.160923943024187
55.85567,32.24738,1.9748368990879202
56.12999,32.10615,3.0209910578827013
56.27402,32.05223,-1.5285704123157735
55.87372,31.96921,0.44118500068692845
56.28318,32.0672,-2.7662315651726366
56.18632,32.06737,-29.5870084954336
55.88361,32.10482,-2.3661391899082505
56.047664,32.327786,-7.31253535240501
56.149526,32.264794,-3.7154171265436973
56.26945,32.277434,2.0871163978056853
56.290814,32.325051,0.44468674019106535
55.944406,32.311535,0.828970164251325
56.124913,32.322936,-7.988780281213841
56.089834,32.252706,-11.202332662096508
55.877706,32.218355,-0.7844050913730574
55.953408,32.264274,-13.77561802428483
55.937681,32.146633,-3.1175153886373694
55.995459,32.190842,-26.365618564093243
56.017102,32.12136,-3.4693178064084518
56.155845,32.150218,-2.9182742880332277
56.080134,32.126292,-10.354227218453365
56.094061,32.031541,-3.243857725443659
56.203392,32.222691,-8.162069295980668
